trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",20,0,-92.03733047061911,"{0: 11, 1: 6, 2: 1, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.98}",20,0,-81.9633574845436,"{0: 11, 1: 6, 2: 2, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.97}",35,0,-201.42136267735688,"{0: 19, 1: 2, 2: 11, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.96}",20,0,-137.05839959856266,"{0: 11, 1: 0, 2: 5, 3: 3, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.95}",20,0,-48.509266243024925,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.94}",30,12,-125.00082106175819,"{0: 10, 1: 0, 2: 6, 3: 0, 4: 2}",1
7,False,"{'a': 0.5, 'e': 0.9299999999999999}",20,0,-77.69666605307332,"{0: 10, 1: 2, 2: 8, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.9199999999999999}",20,0,-64.00788193463563,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9099999999999999}",20,2,-32.176511091494454,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-51.529117210043566,"{0: 15, 1: 7, 2: 3, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.8899999999999999}",25,0,-169.45236903484303,"{0: 15, 1: 0, 2: 7, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.8799999999999999}",25,0,-75.89370716543486,"{0: 17, 1: 1, 2: 5, 3: 2, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.8699999999999999}",25,0,-104.19440681225039,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.8599999999999999}",20,0,-35.03503094688089,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-89.82869657837139,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.8399999999999999}",25,0,-123.5183093437158,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.8299999999999998}",20,0,-62.11286872778721,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.8199999999999998}",20,0,-110.95176381361694,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.8099999999999998}",20,0,-83.56753375023533,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-164.53178276332238,"{0: 19, 1: 3, 2: 3, 3: 3, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.7899999999999998}",20,0,-26.571663709999957,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.7799999999999998}",30,0,-88.32830822029537,"{0: 19, 1: 3, 2: 7, 3: 1, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.7699999999999998}",25,0,-90.23156808952271,"{0: 17, 1: 0, 2: 7, 3: 0, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.7599999999999998}",25,0,-73.80856901245276,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-71.90237055823859,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.7399999999999998}",25,0,-102.25180016722837,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.7299999999999998}",20,0,-224.58507168386353,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 5}",0
