trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-146.96158260137605,"{0: 8, 1: 4, 2: 4, 3: 3, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",35,0,-87.54443768222917,"{0: 25, 1: 5, 2: 3, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-88.78839085995513,"{0: 11, 1: 3, 2: 3, 3: 3, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-108.01892820379739,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-161.9267413818471,"{0: 19, 1: 2, 2: 5, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-66.16936300244235,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-39.58065642258064,"{0: 18, 1: 4, 2: 2, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-103.34840165268432,"{0: 22, 1: 2, 2: 3, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-133.1368625161487,"{0: 18, 1: 0, 2: 3, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-106.86017866465089,"{0: 18, 1: 1, 2: 2, 3: 3, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-37.732244894251174,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-61.865797718562405,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-74.805566902089,"{0: 18, 1: 4, 2: 1, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-54.093883179682344,"{0: 24, 1: 2, 2: 1, 3: 3, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-42.00738362417837,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-72.05548919629582,"{0: 21, 1: 0, 2: 1, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,0,-6.982036335319661,"{0: 27, 1: 1, 2: 1, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,17.747259043613546,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-18.787303906430434,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,0,27.745769639843033,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
21,False,"{'a': 0.5, 'e': -0.05000000000000032}",20,0,21.2469078346193,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
22,False,"{'a': 0.5, 'e': -0.10000000000000032}",35,0,-75.22284649621879,"{0: 30, 1: 0, 2: 0, 3: 5, 4: 0}",0
23,False,"{'a': 0.5, 'e': -0.15000000000000033}",25,0,5.450365126476358,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
24,False,"{'a': 0.5, 'e': -0.20000000000000034}",25,0,-17.01993439213592,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
25,False,"{'a': 0.5, 'e': -0.25000000000000033}",30,0,35.61453571896058,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
26,False,"{'a': 0.5, 'e': -0.3000000000000003}",20,0,-40.7694306793095,"{0: 17, 1: 0, 2: 0, 3: 3, 4: 0}",0
27,False,"{'a': 0.5, 'e': -0.3500000000000003}",20,0,-2.5509193313357197,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
28,False,"{'a': 0.5, 'e': -0.4000000000000003}",20,0,-0.18314107714617467,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
29,False,"{'a': 0.5, 'e': -0.4500000000000003}",20,0,19.37778699266571,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
30,False,"{'a': 0.5, 'e': -0.5000000000000003}",25,0,-24.734325799875712,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
31,False,"{'a': 0.5, 'e': -0.5500000000000004}",25,0,-3.6561003550255613,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
32,False,"{'a': 0.5, 'e': -0.6000000000000004}",30,0,-53.063876072195384,"{0: 26, 1: 0, 2: 0, 3: 4, 4: 0}",0
33,False,"{'a': 0.5, 'e': -0.6500000000000005}",20,0,19.154928760523177,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
34,False,"{'a': 0.5, 'e': -0.7000000000000005}",20,0,20.12684183550824,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
35,False,"{'a': 0.5, 'e': -0.7500000000000006}",25,0,-15.188757927589279,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
36,False,"{'a': 0.5, 'e': -0.8000000000000006}",25,0,20.34689964475891,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
37,False,"{'a': 0.5, 'e': -0.8500000000000006}",30,0,29.32200229074871,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
38,False,"{'a': 0.5, 'e': -0.9000000000000007}",35,0,-38.35309414910579,"{0: 32, 1: 0, 2: 0, 3: 3, 4: 0}",0
39,False,"{'a': 0.5, 'e': -0.9500000000000007}",20,0,-51.91527200612358,"{0: 17, 1: 0, 2: 0, 3: 3, 4: 0}",0
40,False,"{'a': 0.5, 'e': -1.0000000000000007}",20,0,13.290885007539275,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
41,False,"{'a': 0.5, 'e': -1.0500000000000007}",20,0,-23.68322428050523,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
