trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-119.99674911626455,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.25}",20,9,-64.33444663755455,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 1}",1
3,False,"{'a': 0.5, 'e': 0.1111111111111111}",20,0,-99.60191086828965,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.0625}",20,0,16.38548131680633,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.04}",30,0,-29.60177649684745,"{0: 28, 1: 0, 2: 0, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.027777777777777776}",20,7,19.855202028573615,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.02040816326530612}",25,16,19.630652642423634,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.015625}",20,0,23.755088100580927,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.012345679012345678}",20,0,-33.78038734422422,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.01}",25,9,19.239357460886843,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.008264462809917356}",25,1,17.699741473479712,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.006944444444444444}",25,0,3.1027722693657336,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.005917159763313609}",25,0,14.192370700761945,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.00510204081632653}",20,0,11.90957539699258,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.0044444444444444444}",20,6,10.494340367203785,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.00390625}",20,0,26.842701352879992,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.0034602076124567475}",20,5,21.435312234279348,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.0030864197530864196}",30,0,25.66980073582643,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.002770083102493075}",30,15,12.855005642519004,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.0025}",25,13,17.882192454517998,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.0022675736961451248}",20,0,20.93061167026907,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.002066115702479339}",25,0,24.681017698893616,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.001890359168241966}",20,6,21.554599242297904,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.001736111111111111}",30,0,9.851757248960865,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.0016}",20,6,14.269227232897093,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.0014792899408284023}",20,1,25.016473566489715,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.0013717421124828531}",30,13,8.159467720089072,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.0012755102040816326}",35,0,25.035870694086388,"{0: 34, 1: 0, 2: 1, 3: 0, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.0011890606420927466}",20,6,-20.770432625396865,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
30,False,"{'a': 0.5, 'e': 0.0011111111111111111}",20,9,17.857179743353182,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.001040582726326743}",20,0,23.98765074092184,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.0009765625}",25,0,-2.503861767224408,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",30,2,34.390417653368495,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",35,19,32.330175685995044,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,7,27.951972666543394,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,6,16.736989936172336,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,0,24.152506815076883,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",25,12,17.94204974546871,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,17,15.334005814168293,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,4,32.23221345188947,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,3,27.87205264965801,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,13,23.256139284994905,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
